# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,-3.783021046696637733e-07,4.496844468003322460e-04,-1.870779991149902344e+00,-2.223780029296875000e+03,5.437497561809809515e-04,-4.574356054351524205e-07,1.839079982864679778e+03,-1.547146745065151929e+00,-8.412612607828005677e-04
1.888121750000000000e+06,5.296268633100592834e-07,-2.479233579182677437e-07,4.258144495727159140e-04,-1.367339968681335449e+00,-2.348439941406250000e+03,5.421091118161900247e-04,-3.156339844606609602e-07,1.844646472836907606e+03,-1.074014628147833328e+00,-5.822333135173002631e-04
1.782501875000000000e+06,5.610092275499009038e-07,-1.430270449830326648e-07,4.018080857030593132e-04,-8.858919739723205566e-01,-2.488750000000000000e+03,5.423610866925618681e-04,-1.930580949054129503e-07,1.843789862196254035e+03,-6.563128641330757684e-01,-3.559586033037952907e-04
1.682790250000000000e+06,5.942511254744909383e-07,-4.926049638013293996e-08,3.798598182883771855e-04,-3.413909971714019775e-01,-2.632550048828125000e+03,5.416065120122039341e-04,-7.023592478049141204e-08,1.846358862022651238e+03,-2.394371546032935949e-01,-1.296807243316690445e-04
1.588656500000000000e+06,6.294626937918927447e-07,2.278682822739822928e-08,3.600269197114405761e-04,1.757979989051818848e-01,-2.777570068359375000e+03,5.394761895702282180e-04,3.414453362087713463e-08,1.853649920658718202e+03,1.173212335611868024e-01,6.329201229080796878e-05
1.499788375000000000e+06,6.667607354937658813e-07,8.669811102841671675e-08,3.401105852569846614e-04,7.494959831237792969e-01,-2.940219970703125000e+03,5.391220067895763400e-04,1.374284177812005494e-07,1.854867585493356046e+03,4.728271416445474773e-01,2.549115340321100637e-04
1.415891625000000000e+06,7.062687442621181909e-07,1.320031015714772906e-07,3.223913090741267490e-04,1.270040035247802734e+00,-3.101820068359375000e+03,5.369376630093170705e-04,2.198490929278550196e-07,1.862413276703638303e+03,7.625650010194652273e-01,4.094499381840534919e-04
1.336687875000000000e+06,7.481178057368104391e-07,1.698530892222889318e-07,3.045529736429232102e-04,1.831249952316284180e+00,-3.283500000000000000e+03,5.365921106423346106e-04,2.992642841562569026e-07,1.863612358667509625e+03,1.039360451635728655e+00,5.577127919343031039e-04
1.261914750000000000e+06,7.924465578994143479e-07,1.924098139820089415e-07,2.866650748006537019e-04,2.341409921646118164e+00,-3.488389892578125000e+03,5.381858684535826458e-04,3.612307600041957943e-07,1.858093287293366075e+03,1.247153613037624176e+00,6.712007527104943546e-04
1.191324250000000000e+06,8.394020351722043748e-07,2.128896482575096787e-07,2.709805082402161184e-04,2.899199962615966797e+00,-3.690300048828125000e+03,5.374881761801863535e-04,4.222653116737656010e-07,1.860504895004615037e+03,1.461663184747562738e+00,7.856271642563654586e-04
