# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,-3.653877165008033511e-07,1.897976839026024442e-03,-1.014313277053833090e-01,-5.268767997460937522e+02,5.862295128460671143e-04,-1.128575747816413225e-07,1.705816478060565032e+03,-3.283940956876166828e-01,1.925143178713959195e-04
1.888121750000000000e+06,5.296268633100592834e-07,1.242278827286711716e-07,1.797163750699844360e-03,3.846305544972419832e-02,-5.564323200000000043e+02,5.844817433554062858e-04,4.040195527109291027e-08,1.710917418020609148e+03,1.182661559257119493e-01,-6.912440932569157098e-05
1.782501875000000000e+06,5.610092275499009038e-07,5.385001494525496089e-07,1.695784770988938367e-03,1.872596998119354372e-01,-5.896974169531250709e+02,5.847736947287430868e-04,1.856961610898921646e-07,1.710063069140772768e+03,5.430342541456864014e-01,-3.175521791828039820e-04
1.682790250000000000e+06,5.942511254744909383e-07,8.778565919464255626e-07,1.603134581317388523e-03,3.415729571437836065e-01,-6.237777612695313110e+02,5.839672367329716736e-04,3.197732082015924130e-07,1.712424323224821364e+03,9.377022976555017264e-01,-5.475875838353134149e-04
1.588656500000000000e+06,6.294626937918927447e-07,1.138260298794385137e-06,1.519388371242726219e-03,4.930645151138305926e-01,-6.581592025390625622e+02,5.816872833796720528e-04,4.357750483789017510e-07,1.719135809457828373e+03,1.287902472585784608e+00,-7.491569109900375915e-04
1.499788375000000000e+06,6.667607354937658813e-07,1.415036095321386502e-06,1.435579647360175209e-03,6.866137733459473091e-01,-6.965820602539063202e+02,5.812070530653755873e-04,5.728898152430675994e-07,1.720555563017651366e+03,1.695933924775929524e+00,-9.856897162922549898e-04
1.415891625000000000e+06,7.062687442621181909e-07,1.542152417976759333e-06,1.360504963076251787e-03,8.331562955665589021e-01,-7.350202625390625144e+02,5.789724943970301230e-04,6.562738515540231607e-07,1.727195548706421732e+03,1.957801598704655754e+00,-1.133514731537460128e-03
1.336687875000000000e+06,7.481178057368104391e-07,1.659615072143846522e-06,1.285230784211749194e-03,1.004718519439697255e+00,-7.780690789843750963e+02,5.785977927133365180e-04,7.471417812989512333e-07,1.728313424537114088e+03,2.231766499827136041e+00,-1.291297323820104906e-03
1.261914750000000000e+06,7.924465578994143479e-07,1.737663659231541004e-06,1.209706866518178237e-03,1.187420468368530324e+00,-8.266448379687500392e+02,5.803334212756896138e-04,8.336104591112697242e-07,1.723143799756366661e+03,2.475181751331982927e+00,-1.436433657876925877e-03
1.191324250000000000e+06,8.394020351722043748e-07,1.805361172129391354e-06,1.143470695595881405e-03,1.380743275985717888e+00,-8.745283207617188737e+02,5.796054598314485983e-04,9.151062605837956268e-07,1.725307259097427959e+03,2.723989996039474004e+00,-1.578843409877318847e-03
1.124682625000000000e+06,8.891397250846655899e-07,1.867196127424844539e-06,1.077029132603509517e-03,1.609658440666198898e+00,-9.284772010156250417e+02,5.809380696242502943e-04,1.007145750323346573e-06,1.721348706065672786e+03,2.984223490913506360e+00,-1.733654244719693783e-03
1.061768875000000000e+06,9.418245566861243833e-07,1.885931181344257215e-06,1.019993033734905349e-03,1.812716738510131931e+00,-9.803955010156250864e+02,5.791084570289446905e-04,1.070751132967931607e-06,1.726786354444481731e+03,3.192767128459634396e+00,-1.848964766395069185e-03
1.002374437500000000e+06,9.976311870981846032e-07,1.895382503552191839e-06,9.628460448933980845e-04,2.044473486404418949e+00,-1.038583613906250093e+03,5.791619964253409128e-04,1.140092458777752279e-06,1.726625937324658253e+03,3.398899137760793110e+00,-1.968520838408844599e-03
9.463025000000000000e+05,1.056744539933055151e-06,1.928017192775618018e-06,9.113354996573400134e-04,2.321412843017578442e+00,-1.097285823554687568e+03,5.776680702369421704e-04,1.222111913288911325e-06,1.731090181020319733e+03,3.662286427454162219e+00,-2.115595402023237245e-03
8.933671875000000000e+05,1.119360565277085465e-06,1.955490300517865487e-06,8.607038779192457533e-04,2.639647318801880083e+00,-1.161833777968750155e+03,5.774343338999995967e-04,1.311911411224507018e-06,1.731789710946510922e+03,3.934568054322479469e+00,-2.271966411078882135e-03
8.433930000000000000e+05,1.185686862470995129e-06,1.981033320357906914e-06,8.128979594139690941e-04,2.997899946060180731e+00,-1.230159393906250216e+03,5.771915798770024374e-04,1.406616585420739825e-06,1.732516717020388569e+03,4.222145356311127529e+00,-2.437001221882836161e-03
7.962143125000000000e+05,1.255943260879274967e-06,1.978702889476957477e-06,7.678904667065523330e-04,3.355669283065796371e+00,-1.302260417968750062e+03,5.768414075810981327e-04,1.486406993494889936e-06,1.733567228331999104e+03,4.467062208123409484e+00,-2.576803561533359214e-03
7.516748125000000000e+05,1.330362522956028934e-06,1.977203595897498655e-06,7.257091462302165752e-04,3.754248143615722899e+00,-1.377952286093750217e+03,5.762259134207035286e-04,1.569934668707221870e-06,1.735417574594522421e+03,4.728166768596166136e+00,-2.724512438858350816e-03
7.096267500000000000e+05,1.409191522162883532e-06,1.978248787289282944e-06,6.854211362461250278e-04,4.210777613220215265e+00,-1.458944898476562685e+03,5.759668331010162545e-04,1.662343964677199428e-06,1.736196622035194650e+03,5.010975997687276973e+00,-2.886180017913719462e-03
6.699308750000000000e+05,1.492691316846682028e-06,1.957092050118749819e-06,6.470082793063143198e-04,4.675064457244873850e+00,-1.545561134921875237e+03,5.760295847569698799e-04,1.742393346449513015e-06,1.736006061026220550e+03,5.251128570773489379e+00,-3.024833085933665341e-03
6.324555625000000000e+05,1.581138753918383044e-06,1.954859097071989624e-06,6.105054524036795244e-04,5.244836000671386778e+00,-1.637970214921875140e+03,5.763212382437352599e-04,1.845400087715530174e-06,1.735125622182467623e+03,5.555930899112230037e+00,-3.202033805554605622e-03
5.970765000000000000e+05,1.674827262503213635e-06,1.930051547081277948e-06,5.768451061627950099e-04,5.800235422515870098e+00,-1.733548216953125120e+03,5.758302971531562963e-04,1.926656123113700502e-06,1.736603319051615472e+03,5.810457411865673549e+00,-3.345874874314330553e-03
5.636765625000000000e+05,1.774067020925674973e-06,1.917585463360716988e-06,5.450873827910436347e-04,6.453823663330078730e+00,-1.834545534921875060e+03,5.752903385926489300e-04,2.023837691579851265e-06,1.738231215020682612e+03,6.114995531205067003e+00,-3.517941386832307196e-03
5.321450000000000000e+05,1.879187063676253656e-06,1.895877996386123718e-06,5.142756095580339496e-04,7.168241506347657221e+00,-1.944456224062500269e+03,5.756476864598326481e-04,2.122126272656957047e-06,1.737150054469005227e+03,6.404006924456512984e+00,-3.686501870107027675e-03
5.023772812500000000e+05,1.990535872784354564e-06,1.873431669312166085e-06,4.853847122721275092e-04,7.951685604553223818e+00,-2.060190767812500326e+03,5.757925420599884674e-04,2.222377334876112690e-06,1.736710759543289669e+03,6.703154951323377020e+00,-3.859684126725935246e-03
4.742747500000000000e+05,2.108482477719929384e-06,1.853424582508400326e-06,4.583972432196807599e-04,8.820309505004884087e+00,-2.181478329140625192e+03,5.755850619681283139e-04,2.327246768945114452e-06,1.737334267853027995e+03,7.024514409066559217e+00,-4.043271659947944574e-03
4.477442187500000000e+05,2.233418005466988388e-06,1.798348074891792823e-06,4.333244706017417799e-04,9.577228387451173219e+00,-2.307699760000000424e+03,5.748279797876568002e-04,2.385604462654862308e-06,1.739620916120268703e+03,7.219633641280463365e+00,-4.150118899111542546e-03
4.226978125000000000e+05,2.365756269438938768e-06,1.779824463277813891e-06,4.092173028609939018e-04,1.062823085571289106e+01,-2.443643210156250007e+03,5.746407281855887188e-04,2.499306892621562894e-06,1.740184839964498906e+03,7.568652466892612729e+00,-4.349338238716652684e-03
3.990524687500000000e+05,2.505936131988909165e-06,1.760125289974490054e-06,3.860623641618231511e-04,1.180917678558349770e+01,-2.590201240000000325e+03,5.750321361846320997e-04,2.621671261958026521e-06,1.738997095021853056e+03,7.928389426888392322e+00,-4.559173473943474442e-03
3.767298125000000000e+05,2.654422259188738750e-06,1.742202653554978963e-06,3.648336670244417112e-04,1.308877344757080152e+01,-2.740912605078125125e+03,5.744520518427060534e-04,2.743200476049860468e-06,1.740749630010856208e+03,8.312661080087726972e+00,-4.775334107085741318e-03
3.556558750000000000e+05,2.811706681353148047e-06,1.725079377467907832e-06,3.445686480718503737e-04,1.452936654174804865e+01,-2.902106565078125186e+03,5.742115847705860478e-04,2.874784368032082677e-06,1.741474679736616054e+03,8.718674996135243660e+00,-5.006489670842570981e-03
3.357608125000000000e+05,2.978310638916505508e-06,1.704963226359120150e-06,3.252509796488399323e-04,1.611631903808594046e+01,-3.074464290156250172e+03,5.742857864691666009e-04,3.010401839243613039e-06,1.741245466680872596e+03,9.127595839866980754e+00,-5.241992593534685815e-03
3.169786250000000000e+05,3.154786856684737224e-06,1.684596068739302917e-06,3.068998731148933363e-04,1.788501381896972831e+01,-3.258293530156250199e+03,5.745777319251987782e-04,3.153899604331125757e-06,1.740356117918980317e+03,9.552943260276743231e+00,-5.489073852137581547e-03
2.992471250000000000e+05,3.341719657289940399e-06,1.663899499582553526e-06,2.895070012146047970e-04,1.985155832397461140e+01,-3.454033805078125170e+03,5.750229492783406242e-04,3.304861000040120022e-06,1.739003582825706417e+03,9.994670868394841534e+00,-5.747354960680703916e-03
2.825075000000000000e+05,3.539729033742467086e-06,1.647180531948127683e-06,2.740456666905117123e-04,2.193207046691894746e+01,-3.648895040000000336e+03,5.734822235989751058e-04,3.446975701306576841e-06,1.743670218136973290e+03,1.048051469719666962e+01,-6.010606012640732146e-03
2.667042812500000000e+05,3.749471119522945231e-06,1.628591948734791314e-06,2.585832619868953948e-04,2.435534228454590178e+01,-3.867072939687500366e+03,5.737741236798315526e-04,3.613706127137843293e-06,1.742776981074923469e+03,1.097624238324747203e+01,-6.298133669677837519e-03
2.517850781250000000e+05,3.971641240405616026e-06,1.610822805991223715e-06,2.440882892091616899e-04,2.703553505676269708e+01,-4.096699820312500378e+03,5.738425379692952766e-04,3.786984825055384758e-06,1.742562435476095061e+03,1.149977051755724489e+01,-6.599344897742690993e-03
2.377004531250000000e+05,4.206975573050876958e-06,1.591164158777415426e-06,2.305534003465166122e-04,2.993306844360351704e+01,-4.337183359999999993e+03,5.735435497811704935e-04,3.958310476176662445e-06,1.743463721204521335e+03,1.203251386073624829e+01,-6.901499420029942426e-03
2.244036875000000000e+05,4.456254757400098661e-06,1.572163149781702783e-06,2.170193693905699884e-04,3.337934626586914533e+01,-4.607641820312500386e+03,5.752244108948768734e-04,4.167123995445127031e-06,1.738360721976694094e+03,1.259328453397685088e+01,-7.244344844410080704e-03
2.118507500000000000e+05,4.720304270813296439e-06,1.554850752372122966e-06,2.054163877163975207e-04,3.684628024047852080e+01,-4.867881869843750792e+03,5.737182219797214676e-04,4.342624359290875026e-06,1.742916071382494465e+03,1.319259088837638316e+01,-7.569263434418800097e-03
2.000000000000000000e+05,5.000000000000000409e-06,1.537065901776622214e-06,1.938107014700605482e-04,4.091755421508789681e+01,-5.159349300312500418e+03,5.740550406437435436e-04,4.552691992876338817e-06,1.741883680528796731e+03,1.381445910826329460e+01,-7.930758673891208019e-03
1.888121718750000000e+05,5.296268720758286387e-06,1.520716955406336839e-06,1.831750619880924142e-04,4.531956806274414618e+01,-5.458882180312500168e+03,5.734061099674119585e-04,4.760409983198034278e-06,1.743844483661437835e+03,1.447737396735887572e+01,-8.301986847451939266e-03
1.782501875000000000e+05,5.610092275499009038e-06,1.503537946860318119e-06,1.725342446508566058e-04,5.050458421508789542e+01,-5.795510720000000219e+03,5.747120674337012104e-04,5.008289245150880103e-06,1.739869616634582826e+03,1.516197550517065906e+01,-8.714432024221653583e-03
1.682790312500000000e+05,5.942511034035917868e-06,1.487423215953625032e-06,1.628602661729777789e-04,5.607484096191407019e+01,-6.139720979687500403e+03,5.747874083690565584e-04,5.249605416571569207e-06,1.739628562527070699e+03,1.588824562211192593e+01,-9.133125291431103826e-03
1.588656406250000000e+05,6.294627309378276984e-06,1.472994963873548639e-06,1.541537878063182002e-04,6.198023372070313286e+01,-6.486436160000000200e+03,5.732772848138986688e-04,5.477870932986339911e-06,1.744197319369573734e+03,1.666643359202506502e+01,-9.555360168796161666e-03
1.499788437500000000e+05,6.667607077081496916e-06,1.459491219220274071e-06,1.454428203102865703e-04,6.898794070800781242e+01,-6.874861960000001091e+03,5.736177622860619708e-04,5.756145854839966507e-06,1.743145659788088778e+03,1.749213731454788956e+01,-1.003481104193804270e-02
1.415891562500000000e+05,7.062687754380907746e-06,1.444057917313474389e-06,1.377023088133406666e-04,7.614728263183594947e+01,-7.261243820312500247e+03,5.719652199755708702e-04,5.998090456517077520e-06,1.748165804480803217e+03,1.833268223671651853e+01,-1.048680976926055254e-02
1.336687812500000000e+05,7.481178407168278094e-06,1.429542630176924946e-06,1.299609570533177632e-04,8.462891339355469711e+01,-7.693687720000000809e+03,5.721279311453430876e-04,6.293284429658767707e-06,1.747649371634243153e+03,1.922376793768991732e+01,-1.099978534007287241e-02
1.261914687500000000e+05,7.924465971476379392e-06,1.413690016854645557e-06,1.222189988562000912e-04,9.462777878417969646e+01,-8.180939420312501170e+03,5.743303665408346428e-04,6.643198791953276016e-06,1.740925230326865403e+03,2.013703795020582987e+01,-1.156685973608701304e-02
1.191324296875000000e+05,8.394020021442785741e-06,1.399998704392451858e-06,1.154442294276378862e-04,1.050314376953125048e+02,-8.660917579687500620e+03,5.740140364445978517e-04,6.961100709059161090e-06,1.741861509722522214e+03,2.112365311746624386e+01,-1.212705659982763612e-02
1.124682656250000000e+05,8.891397003793709197e-06,1.386033976022088873e-06,1.086677205552734424e-04,1.173551396191406297e+02,-9.200867899687500540e+03,5.756882968352058103e-04,7.342783440516027177e-06,1.736768573003380652e+03,2.215211875586974699e+01,-1.275479018920883459e-02
1.061768906250000000e+05,9.418245289663284558e-06,1.373188019450960225e-06,1.028566717975476778e-04,1.297739939746093967e+02,-9.720534200000000055e+03,5.741809016776960308e-04,7.665602254108329428e-06,1.741301030711512794e+03,2.324723979341968416e+01,-1.335050021989628646e-02
1.002374453125000000e+05,9.976311715471225527e-06,1.360307003288107686e-06,9.704596609522771894e-05,1.444097900000000152e+02,-1.030237111937500049e+04,5.745076119562286723e-04,8.052954279619619504e-06,1.740279045123415699e+03,2.439373698886116770e+01,-1.401714113447319852e-02
9.463025000000000000e+04,1.056744539933055193e-05,1.348432209558534509e-06,9.181601004674726436e-05,1.599184694189453353e+02,-1.088899812000000020e+04,5.732532395631186051e-04,8.418936218935255524e-06,1.744053573158830432e+03,2.561359410026261685e+01,-1.468624272468377519e-02
