set_temp,temp,time,I,J
30.0,33.5973,0.0,-9.24e-12,-8.4e-11
31.0,33.5876,1.36,-9.23e-12,-8.39090909091e-11
32.0,33.5876,2.73,-9.22e-12,-8.38181818182e-11
33.0,33.9186,55.11,-9.1e-12,-8.27272727273e-11
34.0,34.5053,63.82,-9.27e-12,-8.42727272727e-11
35.0,35.2334,71.43,-9.55e-12,-8.68181818182e-11
36.0,35.3795,72.81,-9.62e-12,-8.74545454545e-11
37.0,35.9128,77.34,-9.88e-12,-8.98181818182e-11
38.0,37.5083,89.14,-1.08e-11,-9.81818181818e-11
39.0,38.4805,95.77,-1.152e-11,-1.04727272727e-10
40.0,39.4529,102.36,-1.23e-11,-1.11818181818e-10
41.0,39.9745,105.84,-1.28e-11,-1.16363636364e-10
42.0,41.2765,114.53,-1.42e-11,-1.29090909091e-10
43.0,42.408,122.12,-1.56e-11,-1.41818181818e-10
44.0,43.4349,128.77,-1.702e-11,-1.54727272727e-10
45.0,43.9863,132.23,-1.78e-11,-1.61818181818e-10
46.0,44.5524,135.69,-1.87e-11,-1.7e-10
47.0,46.19,145.44,-2.16e-11,-1.96363636364e-10
48.0,47.4668,153.04,-2.42e-11,-2.2e-10
49.0,48.7391,160.72,-2.71e-11,-2.46363636364e-10
50.0,49.7894,167.27,-2.97e-11,-2.7e-10
51.0,50.4979,171.83,-3.17e-11,-2.88181818182e-10
52.0,51.7808,180.47,-3.57e-11,-3.24545454545e-10
53.0,53.0298,189.15,-4.01e-11,-3.64545454545e-10
54.0,53.5114,192.59,-4.19e-11,-3.80909090909e-10
55.0,55.3942,206.49,-4.97e-11,-4.51818181818e-10
56.0,55.8589,209.96,-5.18e-11,-4.70909090909e-10
57.0,56.8888,217.72,-5.66e-11,-5.14545454545e-10
58.0,58.1904,227.43,-6.32e-11,-5.74545454545e-10
59.0,59.3725,236.13,-6.99e-11,-6.35454545455e-10
60.0,60.408,243.72,-7.59e-11,-6.9e-10
61.0,60.9075,247.23,-7.9e-11,-7.18181818182e-10
62.0,62.1049,255.87,-8.69e-11,-7.9e-10
63.0,62.7392,260.38,-9.14e-11,-8.30909090909e-10
64.0,64.378,272.21,-1.038e-10,-9.43636363636e-10
65.0,65.5787,280.92,-1.136e-10,-1.03272727273e-09
66.0,66.0541,284.37,-1.179e-10,-1.07181818182e-09
67.0,67.2282,293.08,-1.286e-10,-1.16909090909e-09
68.0,68.3755,301.72,-1.398e-10,-1.27090909091e-09
69.0,69.761,312.51,-1.545e-10,-1.40454545455e-09
70.0,70.7298,320.11,-1.654e-10,-1.50363636364e-09
71.0,71.1983,323.66,-1.709e-10,-1.55363636364e-09
72.0,71.9343,329.17,-1.796e-10,-1.63272727273e-09
73.0,73.355,339.94,-1.971e-10,-1.79181818182e-09
74.0,74.6656,349.58,-2.14e-10,-1.94545454545e-09
75.0,75.8317,358.28,-2.3e-10,-2.09090909091e-09
76.0,76.2835,361.74,-2.37e-10,-2.15454545455e-09
77.0,77.4449,370.37,-2.53e-10,-2.3e-09
78.0,78.3831,377.02,-2.68e-10,-2.43636363636e-09
79.0,79.3681,383.59,-2.84e-10,-2.58181818182e-09
80.0,79.911,387.11,-2.93e-10,-2.66363636364e-09
81.0,80.4589,390.56,-3.02e-10,-2.74545454545e-09
82.0,81.9922,400.21,-3.3e-10,-3e-09
83.0,83.521,409.95,-3.58e-10,-3.25454545455e-09
84.0,84.5067,416.5,-3.78e-10,-3.43636363636e-09
85.0,85.7755,425.2,-4.04e-10,-3.67272727273e-09
86.0,86.4148,429.69,-4.19e-10,-3.80909090909e-09
87.0,87.7601,439.47,-4.49e-10,-4.08181818182e-09
88.0,88.9261,448.18,-4.75e-10,-4.31818181818e-09
89.0,89.6741,453.69,-4.93e-10,-4.48181818182e-09
