# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,-4.575577951155739544e-10,1.304178848265461136e-05,-2.690119999999999845e+00,-7.667660000000000582e+04,4.306524721851845601e-03,-1.510900103127692665e-07,2.322057954747106123e+02,-8.146702573176541409e-03,3.508397607614317218e-05
1.888120000000000000e+06,5.296273541935893756e-07,5.453755464990297126e-09,1.235064735943410303e-05,3.575330000000000297e+01,-8.096739999999999418e+04,4.293128502096664814e-03,1.895744599357429283e-06,2.329303221466275318e+02,1.028565532153066370e-01,-4.415764863389463847e-04
1.782500000000000000e+06,5.610098176718092963e-07,1.133900538471485030e-08,1.165611461318629860e-05,8.345780000000000598e+01,-8.579180000000000291e+04,4.294468487480805792e-03,4.177635766290899879e-06,2.328574668988127598e+02,2.265224870086387787e-01,-9.727946027475820132e-04
1.682790000000000000e+06,5.942512137581041463e-07,1.755783466705368013e-08,1.102200065712044114e-05,1.445269999999999868e+02,-9.072739999999999418e+04,4.287483777188350921e-03,6.829879042777603803e-06,2.332364422553239081e+02,3.715411583472600365e-01,-1.592980731289555304e-03
1.588660000000000000e+06,6.294613070134578740e-07,2.116346448558223182e-08,1.044793508161604542e-05,1.938760000000000048e+02,-9.571230000000000291e+04,4.270048573213380654e-03,8.649462369834571524e-06,2.341884125593500698e+02,4.743748992904417983e-01,-2.025612173148069652e-03
1.499790000000000000e+06,6.667600130684962891e-07,2.536914488971695575e-08,9.870921009273626466e-06,2.603679999999999950e+02,-1.013070000000000000e+05,4.266816936092418522e-03,1.096609900615466728e-05,2.343651976787839430e+02,6.023394019093410989e-01,-2.570088937585754147e-03
1.415890000000000000e+06,7.062695548382996214e-07,2.921215874140974317e-08,9.356021139529888142e-06,3.337160000000000082e+02,-1.068820000000000000e+05,4.249797025149828870e-03,1.326907490545555090e-05,2.353030616562159594e+02,7.346830759497929852e-01,-3.122284388390936076e-03
1.336690000000000000e+06,7.481166164181672602e-07,3.249912735621507656e-08,8.839346962100461610e-06,4.159350000000000023e+02,-1.131290000000000000e+05,4.246574515311844766e-03,1.561314049471163325e-05,2.354807336760060252e+02,8.657787036173709705e-01,-3.676643477799679868e-03
1.261910000000000000e+06,7.924495407754911195e-07,3.513008280759305232e-08,8.321326922724614974e-06,5.073249999999999886e+02,-1.201710000000000000e+05,4.258554003312986502e-03,1.797830516289920867e-05,2.348173057927158141e+02,9.913264403332713304e-01,-4.221692421632506666e-03
1.191320000000000000e+06,8.394050297149380440e-07,3.806912888900112963e-08,7.866150991880090055e-06,6.152309999999999945e+02,-1.271240000000000000e+05,4.252948113881963206e-03,2.058262421770644512e-05,2.351255063347142027e+02,1.137916525501184273e+00,-4.839613290960007377e-03
1.124680000000000000e+06,8.891418003343173375e-07,4.020429964834513017e-08,7.410208340452933061e-06,7.321480000000000246e+02,-1.349450000000000000e+05,4.262063066443579767e-03,2.312394642239826457e-05,2.346212500644278123e+02,1.272944377280897488e+00,-5.425528919189299103e-03
1.061770000000000000e+06,9.418235587744992279e-07,4.222244855199170768e-08,7.018225641854740248e-06,8.571820000000000164e+02,-1.424810000000000000e+05,4.248361913526197374e-03,2.555863140882091720e-05,2.353763233996987196e+02,1.416050895518704555e+00,-6.016114429292326871e-03
1.002370000000000000e+06,9.976356036194219228e-07,4.221188642980123752e-08,6.626153285188275972e-06,9.613780000000000427e+02,-1.509110000000000000e+05,4.247985825703886470e-03,2.706177891037466615e-05,2.353961287654144883e+02,1.499590218607236514e+00,-6.370496517815136053e-03
9.463020000000000000e+05,1.056745098287861489e-06,4.472841514585486995e-08,6.272222980787861544e-06,1.136890000000000100e+03,-1.594250000000000000e+05,4.236627544932781812e-03,3.021219689232322727e-05,2.360247952190401577e+02,1.683137710124350539e+00,-7.131190214834562391e-03
8.933670000000000000e+05,1.119360800208648914e-06,4.579581559823944471e-08,5.924448407503793518e-06,1.304680000000000064e+03,-1.687820000000000000e+05,4.234382993566613608e-03,3.273165861316070169e-05,2.361478053909000039e+02,1.825415735904299286e+00,-7.729971205460298492e-03
8.433930000000000000e+05,1.185686862470995129e-06,4.695460223076245142e-08,5.595388990858228937e-06,1.499640000000000100e+03,-1.787060000000000000e+05,4.232561020984845941e-03,3.551821320778102115e-05,2.362469389201253875e+02,1.982503998087231878e+00,-8.391660044990095421e-03
7.962140000000000000e+05,1.255943753814929251e-06,4.809448127719535508e-08,5.286008495684772653e-06,1.721089999999999918e+03,-1.891630000000000000e+05,4.229607860435811821e-03,3.848287346107574065e-05,2.364089669925543831e+02,2.150955044068953548e+00,-9.098449485364474079e-03
7.516750000000000000e+05,1.330362191106528756e-06,4.881944940980939882e-08,4.996050368889513203e-06,1.955680000000000064e+03,-2.001390000000000000e+05,4.224700573111408661e-03,4.128212101001064175e-05,2.366805664626707539e+02,2.312749889925081792e+00,-9.771608731931308300e-03
7.096270000000000000e+05,1.409191025707871939e-06,4.940285639974882457e-08,4.718712217882603230e-06,2.218489999999999782e+03,-2.118990000000000000e+05,4.222728314349726182e-03,4.421012151119978228e-05,2.367877651184108458e+02,2.479064502605218490e+00,-1.046956332969952580e-02
6.699310000000000000e+05,1.492691038330813179e-06,5.008170404688956980e-08,4.454653120536345581e-06,2.523460000000000036e+03,-2.244560000000000000e+05,4.222750242850819256e-03,4.747452207926867144e-05,2.367825619135081467e+02,2.662042109305437165e+00,-1.124255978900096271e-02
6.324560000000000000e+05,1.581137660169245035e-06,5.057165076737715371e-08,4.203439228670694939e-06,2.861769999999999982e+03,-2.378660000000000000e+05,4.224708887493378029e-03,5.082754640411796222e-05,2.366684432451443456e+02,2.847362173768662519e+00,-1.203101746361396815e-02
5.970760000000000000e+05,1.674828665027567691e-06,5.097550186764657506e-08,3.971792867867633942e-06,3.230849999999999909e+03,-2.517340000000000000e+05,4.220905152394397938e-03,5.417270377308364935e-05,2.368769895795011848e+02,3.040169471676179569e+00,-1.283438073522051061e-02
5.636770000000000000e+05,1.774065643976958352e-06,5.122431568805976599e-08,3.753505647979749018e-06,3.635139999999999873e+03,-2.663680000000000000e+05,4.216445257147320019e-03,5.754208017504545497e-05,2.371224411715720919e+02,3.236024112507615680e+00,-1.364705970687169617e-02
5.321450000000000000e+05,1.879187063676253656e-06,5.143764664478674493e-08,3.541583777913538185e-06,4.100100000000000364e+03,-2.823000000000000000e+05,4.218664281843551543e-03,6.127150344309865494e-05,2.369918613358076129e+02,3.442048638550991413e+00,-1.452391073326248817e-02
